strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR3891029	Klebsiella pneumoniae	strong	371	152346	521997	5506223	no	-	ST2096	1	3	6	5	ybt 14; ICEKp5 (truncated)	140-2LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;sat-2	-	-	-	-	-	-	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	OXA-232	SHV-28.v1^	-	OmpK36GD	MgrB-57%	GyrA-83Y;GyrA-87G;ParC-80I	CatB4.v1?-81%	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171*-64%	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891030	Klebsiella pneumoniae	strong	459	162615	350622	5913672	no	-	ST377	1	3	8	10	ybt 13; ICEKp2 (truncated)	299-3LV	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.45%		O1/O2v2	O2afg	none	Very high	98.54%		aac(3)-IIa.v1^;aadA^;strA.v1;strB.v1	-	-	-	-	-	catA1*	-	sul1*?;sul2	-	-	dfrA15.v2	-	-	CTX-M-15	-	OXA-48	SHV-110	156D;35Q	-	MgrB-51%	GyrA-83Y;GyrA-87A;ParC-80I	-	-	ST377	10	20	2	1	9	11	12	6	4	20	14	1	126*-46%	327	2	4	52*	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891031	Klebsiella pneumoniae	strong	476	146294	521990	5772667	no	-	ST2096	4	2	8	13	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1	-	-	-	OXA-232	SHV-28.v1^	-	-	-	GyrA-83Y;GyrA-87G;ParC-80I	-	TEM-117*?-71%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891032	Klebsiella pneumoniae	strong	426	146293	524392	5576444	no	-	ST2096	1	2	6	7	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;sat-2	-	-	-	-	-	CatB4.v1?;catA1^	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	OXA-232*	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891034	Klebsiella pneumoniae	strong	720	146294	521875	5628508	no	-	ST2096	1	0	5	4	ybt 14; ICEKp5 (truncated)	140-2LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;sat-2	-	-	-	-	-	-	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	-	SHV-28.v1^	-	OmpK36GD	MgrB-57%	GyrA-83Y;GyrA-87G;ParC-80I	CatB4.v1?-81%	CTX-M-103*?-0%;TEM-104?-0%;aac(3)-IIa.v1?-0%;aadA?-49%;aph(6)-Id.v1?-0%;dfrA14.v2*?-44%;strA.v1*?-0%;sul1*?-0%;sul2*?-0%;sul2?-42%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171*-64%	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891035	Klebsiella pneumoniae	strong	510	129839	325616	5985143	no	-	ST14	1	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	?-+	Good	99.74%	KL2_18_ugd	O1/O2v1	O1	none	Very high	99.99%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2;strA.v1*?	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	catA1*?-0%	NDM-16?-0%;aac(3)-IId?-0%;sul2*?-0%;sul2*?-0%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1*-0%	-	-	-	-	-	-	-	-	-	-	iutA_1*-0%;iucC_1*-0%;iucA_1*-0%;iucA_1*-0%
ERR3891036	Klebsiella pneumoniae	strong	536	161969	353867	5678229	no	-	ST2096	1	2	6	7	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;sat-2	-	-	-	-	-	CatB4.v1?;catA1^	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	CTX-M-103?-0%;TEM-105?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	iucA_1*-45%;iucC_1*-0%;iucD_1*-0%
ERR3891037	Klebsiella pneumoniae	strong	1052	93352	404383	6041444	no	-	ST20-1LV	1	2	7	13	ybt 14; ICEKp5 (truncated)	140-5LV	-	0	-	0	-	0	-	0	-	-	KL18	K18	none	Very high	98.87%		O1/O2v1	O1	none	Very high	98.31%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;sat-2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul1;sul2	-	-	dfrA1.v1?;dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-187	-	OmpK36-75%	-	-	-	OXA-1?-0%;OXA-1?-44%;aadA8b*?-67%;dfrA12*?-0%	ST20-1LV	2	3	1	1	4	4	4*	4	100	31	4*	1	67*	171	2	4	146*-0%	36*-88%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	iucD_1*-0%;iucA_1*-0%
ERR3891038	Klebsiella pneumoniae	strong	947	133451	353697	6210510	no	-	ST2096	4	2	10	22	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;armA;sat-2;strA.v1^;strB.v1	-	-	qnrB1.v2	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1;sul2	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891039	Klebsiella pneumoniae	strong	421	129844	326087	5844240	no	-	ST14	1	2	9	17	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(6')-Ib-cr.v2;aadA2^;aph(3')-VI;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1;OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	qnrB1.v2?-0%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891040	Klebsiella pneumoniae	strong	450	187225	689217	5749040	no	-	ST307	0	2	2	1	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.27%		O1/O2v2	O2afg	none	Very high	98.45%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-48	SHV-28.v1^	-	-	-	GyrA-83I;ParC-80I	-	aac(6')-Ib-cr.v1?-0%	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891041	Klebsiella pneumoniae	strong	303	140643	428491	5786986	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891042	Klebsiella pneumoniae	strong	360	157595	377768	5805174	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891043	Klebsiella pneumoniae	strong	556	160989	377768	5795429	no	-	ST2096	3	2	10	16	-	0	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1*	1	-	-	-	-	55-60%	-	-	ybtP_75*-0%;ybtU_13*-0%;ybtT_42*-50%
ERR3891044	Klebsiella pneumoniae	strong	462	122954	289442	5890902	no	-	ST101	4	1	6	9	ybt 9; ICEKp3	183	-	0	iuc 1	63-1LV	-	0	-	0	rmpA2_6*-47%	wzi137	KL17	K17	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.03%		aph3-Ia.v1^;armA	-	-	-	-	mphA;mphE.v2;msrE	-	-	sul1;sul2	-	-	dfrA5	-	-	CTX-M-15	-	-	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	15	1	1*	1	-	-	-	-	-	-	-	-
ERR3891045	Klebsiella pneumoniae	strong	478	142520	355537	5970402	no	-	ST11	1	2	8	12	ybt 8; ICEKp9	554-3LV	-	0	-	0	-	0	-	0	-	wzi14	KL14	K14	none	Very high	99.92%		O3b	O3b	none	Very high	99.23%		aac(6')-Ib-cr.v2;aadA2^;strA.v1*;strB.v1*	-	-	qnrS1	-	mphA	-	-	sul1;sul2	-	-	dfrA12	CMY-2.v2	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83I;GyrA-87G;ParC-80I	-	mphE.v1*?-0%	ST11	3	3	1	1	1	1	4	5	11*	6	5	1	507*	98*	9	29	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891046	Klebsiella pneumoniae	strong	366	125952	376754	5758646	no	-	ST2096	3	2	10	16	-	0	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	aac(6')-Iaf*?-0%	ST2096	1	6	1	1	1	46	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	ybtU_14*-0%;ybtA_39*-0%;ybtQ_158*-0%
ERR3891047	Klebsiella pneumoniae	strong	22159	781	14722	8428226	no	total_size,N50	ST2096-1LV	0	1	9	14	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	-	unknown (KL64)	unknown (K64)	?-+	None	98.97%	KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_06_wzc,KL64_18_manC,KL64_19_manB,KL64_21_rmlA	O1/O2v1	O2a	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^	CatB4.v1?;catA1^	-	sul1	-	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	OmpK36-13%	PmrB-21%	ParC-80I	-	OXA-232?-0%;SHV-100*?-36%;SHV-212?-0%;msrE?-0%;tet(D)?-0%	ST2096-1LV	1	6	1	1	-	46	1	4*-0%	100	31	4*-0%	-	-	-	-	-	4*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1*-0%	-	-	1*	-	-	-	-	-	55-60%	-	-	fyuA_161*-0%;ybtT_42*-76%;ybtA_39*-68%;ybtU_52*-0%;ybtA_71*-0%;iutA_1*-0%;iucC_1*-0%;iucB_1*-56%
ERR3891048	Klebsiella pneumoniae	strong	415	140643	376754	5818347	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891049	Klebsiella pneumoniae	strong	19725	920	7812	8110843	no	total_size,N50	0	0	0	6	10	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	wzi64	unknown (KL64)	unknown (K64)	?-	None	100.00%	KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_09,KL64_11_wcoU,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_19_manB	unknown (O1/O2v1)	unknown (O1)	?-	None	98.66%	O1/O2v1_01_wzm,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	catA1^	-	-	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	-	-	-	OmpK35-20%;OmpK36-20%	-	GyrA-83Y;GyrA-87G;ParC-80I	-	CatB4.v1?-0%;CatB4.v1?-53%;OXA-181?-0%;SHV-100*?-37%;SHV-212?-0%;sul1?-74%	0	1	6	1	256*	-	46*	1*	4	-	-	-	1	-	-	-	41*-0%	4	36*-81%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1*	-	-	-	-	-	-	-	55-60%	-	-	irp1_245*-0%;ybtP_120*-68%;ybtX_100*-0%;ybtQ_88*-0%;ybtU_13*-52%;ybtU_52*-0%;iutA_1*-77%;iucA_1*-62%;iucC_1*-0%;iucD_1*-48%
ERR3891050	Klebsiella pneumoniae	strong	12443	1576	17464	7210081	no	total_size,N50	ST2096	0	1	8	12	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	-	unknown (KL64)	unknown (K64)	?-+	None	99.98%	KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_17_gnd,KL64_19_manB,KL64_20_rmlB,KL64_22_rmlD,KL64_23_rmlC	O1/O2v1	O1	?-	Good	98.62%	O1/O2v1_02_wzt	aac(6')-Ib-cr.v2;aadA2^;armA	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	catA1*?-0%	OXA-232?-0%;dfrA14.v1?-0%;dfrA14.v2*?-56%;sat-2?-68%;tet(D)?-0%	ST2096	1	6	1	1	1	46	1	110*-80%	-	31	4	1	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	55-60%	-	-	irp2_162*-0%;fyuA_161*-0%;ybtX_100*-0%;ybtU_52*-0%;ybtE_101*-55%;ybtE_132*-0%;iutA_1*-0%;iucA_1*-0%
ERR3891051	Klebsiella pneumoniae	strong	400	152705	428490	5803326	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891052	Klebsiella pneumoniae	strong	45100	288	11263	11163294	no	total_size,N50	0	0	0	8	8	-	0	-	0	-	0	-	0	-	0	-	wzi2	unknown (KL2)	unknown (K2)	?-+	None	99.39%	KL2_01_galF,KL2_02_cpsACP,KL2_03_wzi,KL2_06_wzc,KL2_09,KL2_10,KL2_11_wzx,KL2_13,KL2_16_manC,KL2_17_manB,KL2_18_ugd	O1/O2v1	O2a	?-	Good	99.99%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN	aac(6')-Ib-cr.v2;armA	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA12	OXA-1	-	-	-	-	SHV-28.v1^	-	OmpK35-12%;OmpK36-37%	PmrB-26%	ParC-80I	-	OXA-163?-74%;TEM-150?-0%;aadA25?-49%;dfrA1.v1*?-59%	0	-	-	1*	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891053	Klebsiella pneumoniae	strong	46623	286	6339	11406507	no	total_size,N50	0	0	0	6	6	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	-	unknown (KL64)	unknown (K64)	?-+	None	99.58%	KL64_01_galF,KL64_03_wzi,KL64_04_wza,KL64_07_wzx,KL64_11_wcoU,KL64_12_wcoT,KL64_16_wcaJ,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD	unknown (O1/O2v1)	unknown (O2a)	?-	None	98.71%	O1/O2v1_01_wzm,O1/O2v1_04_glf,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	sat-2	-	-	-	-	mphE.v2^	CatB4.v1?	-	-	-	-	dfrA1.v1;dfrA12?;dfrA14.v2*	-	-	-	-	-	-	-	OmpK35-84%;OmpK36-22%	PmrB-19%	GyrA-83Y;GyrA-87G;ParC-80I	OXA-1?-0%	OXA-181?-43%;OXA-232?-0%;SHV-106?-0%;TEM-150?-0%;aac(6')-Ib-cr.v1?-0%;aac(6')-Ib-cr.v2?-78%;aph(6)-Id.v2?-0%;armA?-0%;armA?-60%;catA1*?-0%;catA1?-52%;msrE?-0%;sul1?-43%	0	1	6	1*	-	1	184*	-	4*-0%	-	-	-	-	-	-	2*-0%	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55-60%	-	-	ybtE_101*-57%;ybtA_39*-64%;ybtX_100*-52%;iutA_1*-0%;iucD_1*-0%;iucB_1*-70%
ERR3891054	Klebsiella pneumoniae	strong	1453	152705	524730	6097936	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	-	-	GyrA-83Y;GyrA-87G;ParC-80I	-	TEM-10.v2?-55%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891055	Klebsiella pneumoniae	strong	560	116914	252996	5773069	no	-	ST15	1	2	7	10	ybt 10; ICEKp4	162	-	0	-	0	-	0	-	0	-	wzi24	KL24	K24	?-	Good	100.00%	KL24_13_wcuG	O1/O2v1	O1	none	Very high	98.52%		aac(6')-Ib'.v1;aph(3')-VI	-	-	qnrS1	-	-	-	-	sul1^	-	-	dfrA15.v2	OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1;OXA-48	SHV-28.v1^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	aadA?-86%	sat-2?-0%	ST15	1	1	1	1	1	1	1	47	12	4	3	3	35	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891056	Klebsiella pneumoniae	strong	574	176123	489926	5830173	no	-	ST147	1	2	10	14	ybt 10; ICEKp4	384	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O2a	none	Very high	98.64%		aac(3)-IIa.v1^;aph3-Ia.v1^;rmtF	-	-	qnrB1.v2^	-	mphA	CatB4.v1?;catII.2*	arr-2	sul1	-	-	dfrA12;dfrA14.v2*	OXA-1	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	OmpK35-76%	-	GyrA-83I;ParC-80I	aac(6')-Ib-Hangzhou*?-83%	-	ST147	3	4	6	1	7	4	38	16	12	4	3	3	61	54	3	10	9	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891057	Klebsiella pneumoniae	strong	368	146606	326087	5778815	no	-	ST14	1	2	9	14	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891058	Klebsiella pneumoniae	strong	292	163074	521875	5826361	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
