Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
ERR3891158	755	92	67	53	44	33	5792488	5611542	5560857	5459982	5305794	4894479	117	325927	5627761	56.94	172991	40237	166767.1	12	37	0
ERR3891016	431	71	50	43	39	34	5609975	5507964	5462785	5410376	5339355	5188024	92	591124	5521218	57.23	173353	62888	223458.6	10	31	0
ERR3891194	713	87	56	49	44	34	5875842	5684680	5614237	5558085	5477818	5094812	132	429661	5713934	56.72	173354	43891	177040.6	12	36	0
ERR3891178	1238	111	51	47	40	31	5830444	5471510	5350761	5325402	5209878	4865946	209	361565	5537452	57.19	173727	43751	170193.9	12	34	0
ERR3891013	612	90	56	50	38	30	5662499	5506760	5441473	5403231	5190243	4907258	126	395827	5530669	57.23	174260	43650	188232.3	11	32	0
ERR3891058	292	89	60	56	44	31	5826361	5771913	5705862	5673829	5454750	4973421	98	521875	5777831	56.75	174620	38556	196896.3	11	37	0
ERR3890998	542	57	43	40	37	34	5390120	5255735	5227940	5200973	5140334	5039978	84	402553	5272957	57.45	174868	69774	189372.6	11	30	0
ERR3891019	474	82	58	51	44	35	5760067	5656879	5600619	5544475	5421523	5074666	102	482122	5669171	56.99	175380	47324	190449.1	11	36	0
ERR3891110	626	76	52	49	42	36	5743890	5585290	5530237	5507942	5386414	5191907	105	295725	5604591	57.1	175437	54700	170807.3	12	34	0
ERR3891036	536	88	55	51	45	35	5678229	5540287	5472284	5441719	5351394	4997084	136	353867	5570920	57.23	176002	49515	168577	12	36	0
ERR3891059	410	82	59	55	44	28	5568903	5476391	5427243	5396239	5208498	4637685	99	376629	5487818	57.31	176005	35663	180853.4	11	36	0
ERR3891078	550	89	57	51	42	32	5856933	5730567	5655095	5608797	5460226	5080619	100	377768	5738417	56.78	176007	44815	183576.6	12	34	0
ERR3891095	288	73	51	49	39	27	5507973	5447300	5397114	5380224	5206910	4758992	90	575026	5458864	57.32	176007	41750	235899.7	9	31	0
ERR3891218	253	84	58	51	43	31	5665755	5645124	5587923	5528987	5400803	4959235	86	524494	5646746	56.71	177694	44660	200289	11	34	0
ERR3891070	359	90	62	57	45	32	5793645	5723749	5663110	5625301	5403957	4909272	102	524736	5731174	56.78	178471	41088	189691.2	11	38	0
ERR3891004	381	86	54	49	39	32	5641618	5567144	5492166	5453044	5295406	5037302	106	588773	5580007	57.19	179138	50728	215140.5	10	32	0
ERR3891024	489	75	50	50	39	33	5772818	5648638	5600712	5600712	5427404	5229504	107	395414	5668430	56.96	179138	75401	193373.5	11	32	0
ERR3891165	851	69	51	49	40	33	5797193	5579747	5548700	5534279	5392257	5153053	109	414907	5605956	56.91	179138	55469	193826.8	11	31	0
ERR3891175	700	80	52	45	37	33	5746161	5578561	5513738	5468374	5340889	5210268	123	502285	5606361	57.17	179138	64843	214648.3	10	31	0
ERR3891114	796	81	53	50	42	33	5804530	5614846	5556917	5535282	5419975	5086016	100	357306	5627661	56.94	179546	58348	176000.8	12	33	0
ERR3891125	2681	103	45	43	38	30	6365870	5525278	5429306	5416087	5325107	5034137	362	512303	5695027	56.86	179721	42212	204469.4	11	32	0
ERR3891005	291	57	41	36	35	29	5515479	5458920	5419534	5380801	5360407	5139826	68	799190	5465798	57.2	184908	79501	280503.2	9	26	0
ERR3891213	177	51	43	41	38	30	5251986	5229849	5213199	5198766	5143300	4867050	57	417208	5234116	57.54	185531	59036	216322.1	9	28	0
ERR3891092	607	107	58	53	39	27	5829009	5691011	5586607	5551428	5302079	4850166	131	470176	5707823	56.84	186233	38075	211899.9	10	34	0
ERR3891084	660	82	49	47	41	30	5681146	5518916	5439106	5426093	5303832	4954788	104	414238	5531955	57.23	188274	44275	194937.5	11	31	0
ERR3891227	538	112	62	55	40	32	5845514	5761649	5654855	5604471	5355953	5070910	136	621654	5777493	56.86	189415	36100	206995.3	11	36	0
ERR3891210	405	76	55	51	40	30	5615718	5576847	5531680	5502495	5330508	4964133	86	506867	5583570	56.98	189465	48053	222367.9	9	32	0
ERR3891150	3196	98	56	46	38	29	6485713	5609968	5530312	5452034	5296558	5000423	172	611371	5655442	56.88	189514	39871	225378	10	32	0
ERR3891224	267	88	62	59	42	33	5776688	5741275	5686825	5666626	5381827	5066532	101	365747	5751013	56.75	190856	39677	183674.7	11	36	0
ERR3891208	489	75	57	54	42	32	5768703	5662982	5617984	5598458	5409650	5071248	112	350919	5688654	56.74	191019	39723	185479	11	34	0
ERR3891130	1996	89	49	46	40	32	6312329	5758849	5669711	5650605	5532979	5270907	168	573082	5808666	56.91	192491	55314	221413.2	10	32	0
ERR3891056	574	87	52	46	40	33	5830173	5695032	5605620	5558985	5448053	5200547	108	489926	5708838	57	194290	51206	195985.7	11	32	0
ERR3891064	419	66	47	44	36	30	5617905	5523455	5481809	5458082	5307441	5106285	78	412515	5532470	56.94	203336	63369	213013.4	10	28	0
ERR3891020	768	87	55	51	39	29	5700467	5498924	5433273	5407948	5205129	4854736	133	440169	5527830	57.24	203595	43644	202906.1	10	32	0
ERR3891137	1053	91	54	48	36	29	5807245	5509040	5433339	5392644	5185875	4948553	172	395827	5559122	57.18	203595	40917	190743.8	11	31	0
ERR3891015	490	70	45	42	36	29	5501064	5386213	5330416	5308833	5221330	4962894	86	528045	5396621	57.42	210889	58762	231404.8	9	28	0
ERR3891040	450	68	46	43	36	31	5749040	5641951	5602693	5586221	5468213	5310730	89	689217	5655102	56.83	214782	72547	245837.9	9	28	0
ERR3891002	509	54	37	36	34	31	5567490	5447145	5414620	5405477	5372940	5282784	74	412558	5460656	57.24	217418	79617	233227.1	9	26	0
ERR3891191	370	80	47	42	36	31	5667259	5594125	5515294	5475675	5366207	5186003	104	631035	5610739	57.02	222927	59448	262314.9	8	29	0
ERR3891197	1130	91	51	44	37	28	6090320	5752050	5677628	5629506	5515038	5213429	199	506904	5824701	56.81	224198	49324	233841.5	9	29	0
ERR3891201	424	75	46	44	37	28	5769689	5671273	5612172	5600298	5472592	5135857	103	458621	5689450	56.92	224198	72979	222132.5	9	28	0
ERR3891107	701	94	55	48	40	29	5796847	5622403	5533378	5488004	5343082	4932908	124	389724	5642070	57.02	224199	39918	196617	10	33	0
ERR3891096	440	85	50	45	36	26	5694061	5590688	5517105	5485780	5330253	4977254	103	475757	5603413	56.98	225961	39919	238847.8	9	28	0
ERR3890999	488	67	44	40	35	30	5719638	5612365	5558374	5528649	5433566	5266846	90	412669	5628150	57.04	229745	66359	237311.2	9	27	0
ERR3891065	438	88	54	46	39	28	5714303	5612779	5534076	5482876	5358146	4993937	106	492670	5624853	57.03	233282	39918	224720.7	10	30	0
ERR3891188	334	61	37	34	31	26	5544722	5468581	5419473	5398009	5344592	5156740	77	796531	5478603	57.2	281379	75379	324398.2	6	23	0
